EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
PERFUMERIAS AVENIDA,30,6000,2230,600/1128,237/615,837/1743,319/404,231,748,979,528,272,398,47,27,0,501,485,2651,2021/2022,LF Endesa
CADI LA SEU,30,6050,1851,577/1319,136/499,713/1818,289/423,280,747,1027,351,217,409,53,45,1,512,503,1842,2021/2022,LF Endesa
LOINTEK GERNIKA BIZKAIA,30,6075,1981,635/1365,138/431,773/1796,297/412,255,685,940,434,213,380,30,45,2,466,500,2114,2021/2022,LF Endesa
KUTXABANK ARASKI,30,6000,1924,561/1191,167/575,728/1766,301/450,245,722,967,369,193,451,24,42,1,533,488,1794,2021/2022,LF Endesa
CASADEMONT ZARAGOZA,30,6000,1978,561/1189,184/551,745/1740,304/419,191,744,935,360,174,393,36,36,2,490,528,2018,2021/2022,LF Endesa
VALENCIA B.C.,30,6000,2157,639/1328,195/543,834/1871,294/406,256,749,1005,485,297,364,66,31,2,453,493,2537,2021/2022,LF Endesa
INNOVA-TSN LEGANÉS,30,6000,1885,598/1397,130/451,728/1848,299/400,240,687,927,373,214,421,25,53,8,466,472,1788,2021/2022,LF Endesa
SPAR GRAN CANARIA,30,6025,1883,562/1367,163/567,725/1934,270/382,328,729,1057,309,227,409,44,46,8,574,490,1706,2021/2022,LF Endesa
DURÁN MAQUINARIA ENSINO,30,6075,1918,528/1206,191/587,719/1793,289/419,228,661,889,323,240,436,22,35,1,550,484,1686,2021/2022,LF Endesa
BAXI FERROL,30,6075,1877,484/1115,229/734,713/1849,222/319,241,704,945,383,249,485,36,56,0,465,444,1751,2021/2022,LF Endesa
IDK EUSKOTREN,30,6100,2067,633/1292,157/462,790/1754,330/439,214,797,1011,332,182,403,68,34,1,453,505,2236,2021/2022,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,30,6025,1727,442/1146,192/710,634/1856,267/374,243,675,918,307,173,349,31,71,1,481,475,1472,2021/2022,LF Endesa
TENERIFE,30,6075,1864,518/1191,148/550,666/1741,384/507,173,722,895,329,186,413,23,30,2,548,551,1689,2021/2022,LF Endesa
SPAR GIRONA,30,6025,2196,647/1372,188/564,835/1936,338/468,269,796,1065,384,295,379,55,19,2,482,497,2400,2021/2022,LF Endesa
CAMPUS PROMETE,30,6125,1914,480/1162,226/736,706/1898,276/358,273,788,1061,389,175,374,47,41,1,510,493,1921,2021/2022,LF Endesa
MOVISTAR ESTUDIANTES,30,6000,1952,528/1174,203/626,731/1800,287/383,240,718,958,424,222,386,38,35,2,470,502,2075,2021/2022,LF Endesa
